id,Tweet,following,followers,actions,is_retweet,tweet_url
0,'A Black Friday refletiu os tempos que vivemos, com o comportamento do consumidor influenciado pela pandemia e pela expectativa de retomada. Levantamento #Neotrust mostra tendências identificadas. Veja em https://t.co/eSWyqUaT34 #blackfriday #tendencias #consumo #mercado https://t.co/rkRd55IWM6',76,3927,0,False,https://twitter.com/canalbussola/status/1467146758430068748
1,'Aproveite essa e outras promoções na #Black2021. Descontos e ofertas imperdíveis, comece 2022 levando sua carreira ao próximo nível.Só até o dia 10 de dezembro.⚫ https://t.co/0Oambt6sIA#fastlane #eccouncil #cloud #cloudcomputing #tecnologia #blackfriday https://t.co/6nA9PA9KMs',88,44,0,False,https://twitter.com/FastLaneBr/status/1467146754193821698
2,'#HERBIACOSMETICOSORGANICOS OFERTA 10% de desconto na primeira compra na Loja Herbia Cosméticos Código  [ loma_MinhaPrimeiraCompra ]  Válido: 31/12/2021 23:59:00  Mais cupons em:  &gt;&gt; https://t.co/1JWD7CyKwa#saudeebeleza #Desconto #BlackFriday #BlackFriday2021',2306,2825,0,False,https://twitter.com/tatutaduro/status/1467146691786776579
3,'@vaievem_futebol Alô @Gremio que adora contratar refugo do @Cruzeiro… dois bons nomes e com experiência em Série B. Tá tudo alinhado com o planejamento de não subir em 2022!!! #BlackFriday',324,110,0,False,https://twitter.com/gianforesti/status/1467146250084626438
4,'O problema da blackfriday é iludir a gente que dá pra ser feliz gastando um pouco usando 13o. Passa nem uma semana e PÁ notícias de todos os gastos de início de ano.',1073,1460,1,False,https://twitter.com/deboche__mode/status/1467145465745625098
5,'⚫️ Monitor Gaming Curvo 24" MSI Optix G241VC🛒: https://t.co/O67N3CHEJY‼️MÍNIMO HISTÓRICO‼️ 👁‍🗨  #Amazon #chollo #oferta #ganga #BlackFriday #primeday #ofertacular https://t.co/BHqTw479lL',10421,12015,0,False,https://twitter.com/OfertacularRL/status/1467140413437976580
6,'#ROVITEX OFERTA Cupom primeira compra 10% de desconto - Rovitex Código  [ bemvindo10 ]  Válido: 31/12/2021 23:59:00  Mais cupons em:  &gt;&gt; https://t.co/dIPMV0l6Rm#modaeacessorios #Desconto #BlackFriday #BlackFriday2021',2306,2825,0,False,https://twitter.com/tatutaduro/status/1467139138482851847
7,'@Electranngel Comprei na Amazon amg, tava tendo cyber Monday por causa do que não vendeu na blackfriday, então tinha uns descontos',1927,2550,1,False,https://twitter.com/DEVILISH3S/status/1467134146661203971
8,'O último livrinho da blackfriday chegou amém',182,107,0,False,https://twitter.com/marcelavvitoria/status/1467132431908196358
9,'As coisas mais loucas que eu comprei na #BlackFriday desse ano.Culpa de quem?@juh_geronimo, eu escolho vc!@souboficial vamos ver se funciona?Comprei com vcs! https://t.co/NirCNzMWMZ',247,101,0,False,https://twitter.com/ex__carioca/status/1467131798828244997
10,'Entra no jogo com a E250 da Nitro Concepts.Combina um visual único e desportivo com o teu setup e torna-te imbatível durante longas sessões de gaming 😎Sabe mais ➡️ https://t.co/aRxb0SsCdG#globaldata #weupgradeyourlife #blackfriday #nitroconcepts https://t.co/ksqAiq70ed',35,31771,0,False,https://twitter.com/globaldata21/status/1467131591319330819
11,'#ITATIAIA OFERTA 10% de desconto em todo o site na Itatiaia Código  [ 10OFF ]  Válido: 31/12/2021 23:59:00  Mais cupons em:  &gt;&gt; https://t.co/Krx40SOVmd#casaedecoracao #Desconto #BlackFriday #BlackFriday2021',2306,2825,0,False,https://twitter.com/tatutaduro/status/1467131588437843973
12,'Meu pai comprou um notebook na @magazineluiza na BlackFriday e agora mandaram mensagem que não tem em estoque e ele ficaria com o crédito. O golpe tá aí, cai quem quer',1136,1033,4,False,https://twitter.com/simidea/status/1467131327510204416
13,'Mesma passagem 20%~25% mais barata q na blackfriday e não é tarifa promocional.Eu estaria muito indignada se tivesse comprado há uma semana.Google flights obg por tanto 🙏',0,967,1,True,https://twitter.com/bot_cockroach/status/1467131053789831169
14,'Mesma passagem 20%~25% mais barata q na blackfriday e não é tarifa promocional.Eu estaria muito indignada se tivesse comprado há uma semana.Google flights obg por tanto 🙏',194,112,1,False,https://twitter.com/LarissaRichely/status/1467131032168275970
15,'Todas minhas comprinhas dessa blackfriday na minha mão 🥺🥺🥺 https://t.co/zMobSOBDwC',73,7,0,False,https://twitter.com/4wnerwf/status/1467127874402635784
16,'@ManuCrisSilva @Cryptocomfelipe Vai lá nos ativos que deseja e compra! Mais uma BlackFriday',24,11,0,False,https://twitter.com/fran_soares_81/status/1467126275189972995
17,'Algum casal se separando? Tô querendo de comprar uma SmartTV e um sofá barato.#playplusmudo #BlackFriday #blackfridayamazon #BlackFriday2021',959,248,0,False,https://twitter.com/jorfla/status/1467125674821525507
18,'🚨🚨🚨ALERTA CUPOM🚨🚨🚨🚨🚨🚨🚨🚨 NA 🚨🚨🚨🚨🚨🚨🚨🚨🚨AMAZON🚨🚨🚨🚨como conseguir CUPOM de 40 REAIS na AMAZON pra vc usar na blackfriday. https://t.co/O0t8ZegaFe',834,1009,20,True,https://twitter.com/sooyapicy/status/1467124629236072450
19,'Criptos seguem em liquidação.#Bitcoin #BlackFriday https://t.co/c2eejJKuwL',1601,175,0,False,https://twitter.com/elevatormiami/status/1467123711207743491
20,'chegou um livro que eu comprei na blackfriday, mais tarde vou fazer unboxing',261,2310,1,True,https://twitter.com/LivroBot/status/1467118714382438408
21,'chegou um livro que eu comprei na blackfriday, mais tarde vou fazer unboxing',767,745,4,False,https://twitter.com/siaraisa/status/1467118705872146441
22,'#LAURIESPORTE OFERTA R$ 50,00 de desconto em produtos da New Balance Código  [ 50NB ]  Válido: 06/12/2021 00:00:00  Mais cupons em:  &gt;&gt; https://t.co/fOZb6RTeph#esporteselazer #Desconto #BlackFriday #BlackFriday2021',2306,2825,0,False,https://twitter.com/tatutaduro/status/1467116490692378625
