id,Tweet,following,followers,actions,is_retweet,tweet_url
0,'Fui às minhas DMs e o @hearthstone_pt disse que eu era lindo mas codes nem vê-los. Portanto SUPERFAKE GIVEAWAY do bundle "Fractured in Alterac Valley"✅1. Follow @SuperFakeHS ✅2. Like &amp; RTSeriam:🧿60 packs🧿2 lendárias🧿Card Back gostosoBoa sorte SIIIIIIIIUUU kkkk 🇵🇹❤️ https://t.co/5iEIenhXy1',1605,141,1157,True,https://twitter.com/danielsapar1/status/1467144852873822211
1,'O Natal chega mais cedo com a @ftwesports @OMENbyHP Squad!Habilita-te a ganhar este mega cabaz de Natal OMEN com um PC do catano!Participa:🎁https://t.co/ClQXIrsGJ4🎁Taga dois amigos🎁Partilha#ftwesports #OMENFTW #parceria https://t.co/Hr5s6lHwIf',35,2,28,True,https://twitter.com/alex_rosalol/status/1467143941489414157
2,'@TWICE_Giveaway @JYPETWICE Sana espresso#SCIENTIST #TWICE #트와이스 @JYPETWICE https://t.co/FCL25UoVxq',451,368,0,False,https://twitter.com/mihyunvibe/status/1467139025849188355
3,'@TWICE_Giveaway @JYPETWICE Momo espresso#SCIENTIST #TWICE #트와이스 @JYPETWICE https://t.co/ARZGoOR1f7',451,368,0,False,https://twitter.com/mihyunvibe/status/1467138978751324160
4,'Essa dupla é incrível demais para ficar conosco.Marque um amigo que você é grato por este ano e concorra à um Headset A40 Special Edition e um mouse Logitech G PRO Wireless.Valide sua inscrição e veja outras maneiras de ganhar: https://t.co/5ulXSvEks1 https://t.co/7ZoX5NoLqF',2,0,132,True,https://twitter.com/DIORGENIS20/status/1467137551030964228
5,'@TWICE_Giveaway @JYPETWICE MOMO mimosa#SCIENTIST #TWICE #트와이스  @JYPETWICE https://t.co/BVNkGsLmKW',209,148,0,False,https://twitter.com/itsnrjonce/status/1467136625540956166
6,'Fui às minhas DMs e o @hearthstone_pt disse que eu era lindo mas codes nem vê-los. Portanto SUPERFAKE GIVEAWAY do bundle "Fractured in Alterac Valley"✅1. Follow @SuperFakeHS ✅2. Like &amp; RTSeriam:🧿60 packs🧿2 lendárias🧿Card Back gostosoBoa sorte SIIIIIIIIUUU kkkk 🇵🇹❤️ https://t.co/5iEIenhXy1',36,113,1157,True,https://twitter.com/kiyono_25/status/1467135006921621505
7,'@TWICE_Giveaway @JYPETWICE Sana | mimosa#SCIENTIST  #TWICE  #트와이스   @JYPETWICE https://t.co/IuehOjVL8w',842,6225,0,False,https://twitter.com/ilikeSweetberry/status/1467134917599719425
8,'SORTEIO🚨Para comemorar os 5000 inscritos no canal do YouTube, estou sorteando uma pré-venda da nova expansãoInclui:tudo isso que tem na fotoPara participar➡️Me siga🔄Like+Retweet💬Comente sua carta favorita da nova expansão🏆Resultado 6/12 #Hearthstone #giveaway https://t.co/PmCk2Q1fx0',20,2,1021,True,https://twitter.com/Erey36565315/status/1467134495241429003
9,'Fui às minhas DMs e o @hearthstone_pt disse que eu era lindo mas codes nem vê-los. Portanto SUPERFAKE GIVEAWAY do bundle "Fractured in Alterac Valley"✅1. Follow @SuperFakeHS ✅2. Like &amp; RTSeriam:🧿60 packs🧿2 lendárias🧿Card Back gostosoBoa sorte SIIIIIIIIUUU kkkk 🇵🇹❤️ https://t.co/5iEIenhXy1',20,2,1157,True,https://twitter.com/Erey36565315/status/1467134393944883202
10,'Se não ganho este giveaway nunca mais participo num.',254,274,0,False,https://twitter.com/Calheta10ezz/status/1467133090988494849
11,'SORTEIO🚨Para comemorar os 5000 inscritos no canal do YouTube, estou sorteando uma pré-venda da nova expansãoInclui:tudo isso que tem na fotoPara participar➡️Me siga🔄Like+Retweet💬Comente sua carta favorita da nova expansão🏆Resultado 6/12 #Hearthstone #giveaway https://t.co/PmCk2Q1fx0',11,0,1021,True,https://twitter.com/Night79843707/status/1467132997283594242
12,'Fui às minhas DMs e o @hearthstone_pt disse que eu era lindo mas codes nem vê-los. Portanto SUPERFAKE GIVEAWAY do bundle "Fractured in Alterac Valley"✅1. Follow @SuperFakeHS ✅2. Like &amp; RTSeriam:🧿60 packs🧿2 lendárias🧿Card Back gostosoBoa sorte SIIIIIIIIUUU kkkk 🇵🇹❤️ https://t.co/5iEIenhXy1',11,0,1157,True,https://twitter.com/Night79843707/status/1467132954984001539
13,'Fui às minhas DMs e o @hearthstone_pt disse que eu era lindo mas codes nem vê-los. Portanto SUPERFAKE GIVEAWAY do bundle "Fractured in Alterac Valley"✅1. Follow @SuperFakeHS ✅2. Like &amp; RTSeriam:🧿60 packs🧿2 lendárias🧿Card Back gostosoBoa sorte SIIIIIIIIUUU kkkk 🇵🇹❤️ https://t.co/5iEIenhXy1',224,1,1157,True,https://twitter.com/test36071334/status/1467132265394479105
14,'Fui às minhas DMs e o @hearthstone_pt disse que eu era lindo mas codes nem vê-los. Portanto SUPERFAKE GIVEAWAY do bundle "Fractured in Alterac Valley"✅1. Follow @SuperFakeHS ✅2. Like &amp; RTSeriam:🧿60 packs🧿2 lendárias🧿Card Back gostosoBoa sorte SIIIIIIIIUUU kkkk 🇵🇹❤️ https://t.co/5iEIenhXy1',40,2,1157,True,https://twitter.com/Phizlirp/status/1467127529186242574
15,'Alguma vez você já ganhou um item raro e teve vontade de compartilhar com um amigo? É exatamente isso que estamos fazendo com @LogitechG!Participe do nosso #HolidayMagic e concorra à uma edição especial Pro Wireless Mouse e um Headset A40.Acesse: https://t.co/T3wAABdf9R https://t.co/GS8A41JF18',48,9,13,True,https://twitter.com/Lukkas_O/status/1467125763291987977
16,'@Xenos_Giveaway @MrHumanityGives Xenos',1086,113,0,False,https://twitter.com/jcowinteruss_/status/1467125592621416448
17,'@Xenos_Giveaway @MrHumanityGives Morning!  $TerriRodela87',1427,183,0,False,https://twitter.com/terri_rodela/status/1467124990852145152
18,'Fui às minhas DMs e o @hearthstone_pt disse que eu era lindo mas codes nem vê-los. Portanto SUPERFAKE GIVEAWAY do bundle "Fractured in Alterac Valley"✅1. Follow @SuperFakeHS ✅2. Like &amp; RTSeriam:🧿60 packs🧿2 lendárias🧿Card Back gostosoBoa sorte SIIIIIIIIUUU kkkk 🇵🇹❤️ https://t.co/5iEIenhXy1',143,58,1157,True,https://twitter.com/wxactly/status/1467119654573428736
19,'É também o último dia que têm para participar na giveaway! Irei anunciar o vencedor amanhã 💜 https://t.co/HpGMsRrn3m',1691,4345,1,False,https://twitter.com/seokjinportugal/status/1467118219978809346
20,'SORTEIO🚨Para comemorar os 5000 inscritos no canal do YouTube, estou sorteando uma pré-venda da nova expansãoInclui:tudo isso que tem na fotoPara participar➡️Me siga🔄Like+Retweet💬Comente sua carta favorita da nova expansão🏆Resultado 6/12 #Hearthstone #giveaway https://t.co/PmCk2Q1fx0',101,3,1021,True,https://twitter.com/flackpolo/status/1467117941867094027
21,'Fui às minhas DMs e o @hearthstone_pt disse que eu era lindo mas codes nem vê-los. Portanto SUPERFAKE GIVEAWAY do bundle "Fractured in Alterac Valley"✅1. Follow @SuperFakeHS ✅2. Like &amp; RTSeriam:🧿60 packs🧿2 lendárias🧿Card Back gostosoBoa sorte SIIIIIIIIUUU kkkk 🇵🇹❤️ https://t.co/5iEIenhXy1',47,0,1157,True,https://twitter.com/NicholasSoo6/status/1467114551116124167
